====================================================================================================
GPT-2 Ablation Study | snr=20dB | grid=121 | smooth=3 | posterior=0.06 | ablations=['wo_soft_token']
[Cache] loaded localized trajectories from ./logs/localized_cache_dataset_lankershim_v3_localize_snr20_g121_s3_t0p06_e1_sl72_pl20.npz
[Cache] ./logs/localized_cache_dataset_lankershim_v3_localize_snr20_g121_s3_t0p06_e1_sl72_pl20.npz
[SoftToken] Global calibration: low=0.6424, high=0.7810

----------------------------------------------------------------------------------------------------
[wo_soft_token] w/o Uncertainty-aware Soft Token
[wo_soft_token] Params=84,833,003 | Trainable=2,920,427
[wo_soft_token] Ep   1/100 [306s] Loss=0.6464/1.4523 | Train_ADE=1.228m | Val_ADE=1.023m FDE=1.731m (best=1.023) | S5=0.732m S10=0.898m S15=1.313m S20=1.731m | L_cls=0.624 L_reg=0.0022 | Acc=80.70%/55.91%
[wo_soft_token] Ep   2/100 [307s] Loss=0.3287/1.4287 | Train_ADE=0.771m | Val_ADE=0.944m FDE=1.587m (best=0.944) | S5=0.685m S10=0.825m S15=1.212m S20=1.587m | L_cls=0.315 L_reg=0.0013 | Acc=88.57%/57.49%
[wo_soft_token] Ep   3/100 [307s] Loss=0.3059/1.4135 | Train_ADE=0.725m | Val_ADE=0.930m FDE=1.565m (best=0.930) | S5=0.654m S10=0.817m S15=1.210m S20=1.565m | L_cls=0.293 L_reg=0.0013 | Acc=88.76%/60.42%
[wo_soft_token] Ep   4/100 [307s] Loss=0.2910/1.2872 | Train_ADE=0.702m | Val_ADE=0.907m FDE=1.501m (best=0.907) | S5=0.652m S10=0.802m S15=1.169m S20=1.501m | L_cls=0.279 L_reg=0.0012 | Acc=88.96%/62.76%
[wo_soft_token] Ep   5/100 [303s] Loss=0.2817/1.3362 | Train_ADE=0.691m | Val_ADE=0.918m FDE=1.517m (best=0.907) | S5=0.666m S10=0.813m S15=1.182m S20=1.517m | L_cls=0.270 L_reg=0.0012 | Acc=89.13%/61.19%
[wo_soft_token] Ep   6/100 [307s] Loss=0.2760/1.2299 | Train_ADE=0.680m | Val_ADE=0.888m FDE=1.425m (best=0.888) | S5=0.664m S10=0.798m S15=1.127m S20=1.425m | L_cls=0.264 L_reg=0.0012 | Acc=89.28%/63.02%
[wo_soft_token] Ep   7/100 [307s] Loss=0.2725/1.2522 | Train_ADE=0.680m | Val_ADE=0.880m FDE=1.416m (best=0.880) | S5=0.655m S10=0.790m S15=1.115m S20=1.416m | L_cls=0.260 L_reg=0.0012 | Acc=89.36%/63.87%
[wo_soft_token] Ep   8/100 [307s] Loss=0.2684/1.3856 | Train_ADE=0.672m | Val_ADE=0.872m FDE=1.410m (best=0.872) | S5=0.645m S10=0.784m S15=1.111m S20=1.410m | L_cls=0.256 L_reg=0.0012 | Acc=89.46%/62.52%
[wo_soft_token] Ep   9/100 [306s] Loss=0.2664/1.2840 | Train_ADE=0.670m | Val_ADE=0.868m FDE=1.393m (best=0.868) | S5=0.644m S10=0.777m S15=1.117m S20=1.393m | L_cls=0.255 L_reg=0.0012 | Acc=89.51%/64.08%
[wo_soft_token] Ep  10/100 [305s] Loss=0.2632/1.2515 | Train_ADE=0.663m | Val_ADE=0.874m FDE=1.415m (best=0.868) | S5=0.651m S10=0.776m S15=1.117m S20=1.415m | L_cls=0.251 L_reg=0.0012 | Acc=89.57%/64.50%
[wo_soft_token] Ep  11/100 [302s] Loss=0.2610/1.2653 | Train_ADE=0.664m | Val_ADE=0.885m FDE=1.439m (best=0.868) | S5=0.656m S10=0.795m S15=1.125m S20=1.439m | L_cls=0.249 L_reg=0.0012 | Acc=89.65%/64.41%
[wo_soft_token] Ep  12/100 [303s] Loss=0.2598/1.2733 | Train_ADE=0.658m | Val_ADE=0.869m FDE=1.408m (best=0.868) | S5=0.647m S10=0.781m S15=1.106m S20=1.408m | L_cls=0.248 L_reg=0.0012 | Acc=89.66%/64.48%
[wo_soft_token] Ep  13/100 [304s] Loss=0.2573/1.2934 | Train_ADE=0.654m | Val_ADE=0.903m FDE=1.469m (best=0.868) | S5=0.666m S10=0.810m S15=1.156m S20=1.469m | L_cls=0.246 L_reg=0.0012 | Acc=89.72%/63.73%
[wo_soft_token] Ep  14/100 [305s] Loss=0.2568/1.2552 | Train_ADE=0.652m | Val_ADE=0.871m FDE=1.399m (best=0.868) | S5=0.649m S10=0.783m S15=1.109m S20=1.399m | L_cls=0.245 L_reg=0.0011 | Acc=89.72%/64.51%
[wo_soft_token] Ep  15/100 [304s] Loss=0.2551/1.2285 | Train_ADE=0.651m | Val_ADE=0.882m FDE=1.430m (best=0.868) | S5=0.651m S10=0.797m S15=1.128m S20=1.430m | L_cls=0.244 L_reg=0.0012 | Acc=89.76%/64.62%
[wo_soft_token] Ep  16/100 [304s] Loss=0.2543/1.2930 | Train_ADE=0.648m | Val_ADE=0.872m FDE=1.384m (best=0.868) | S5=0.657m S10=0.786m S15=1.111m S20=1.384m | L_cls=0.243 L_reg=0.0012 | Acc=89.80%/64.23%
