====================================================================================================
GPT-2 Ablation Study | snr=20dB | grid=121 | smooth=3 | posterior=0.06 | ablations=['wo_uncertainty_u']
[Cache] loaded localized trajectories from ./logs/localized_cache_dataset_lankershim_v3_localize_snr20_g121_s3_t0p06_e1_sl72_pl20.npz
[Cache] ./logs/localized_cache_dataset_lankershim_v3_localize_snr20_g121_s3_t0p06_e1_sl72_pl20.npz
[SoftToken] Global calibration: low=0.6424, high=0.7810

----------------------------------------------------------------------------------------------------
[wo_uncertainty_u] w/o Uncertainty u
[wo_uncertainty_u] Params=84,832,619 | Trainable=2,920,043
[wo_uncertainty_u] Ep   1/100 [306s] Loss=0.6228/1.4873 | Train_ADE=1.209m | Val_ADE=0.964m FDE=1.636m (best=0.964) | S5=0.678m S10=0.839m S15=1.247m S20=1.636m | L_cls=0.601 L_reg=0.0022 | Acc=81.08%/58.36%
[wo_uncertainty_u] Ep   2/100 [308s] Loss=0.2915/1.3906 | Train_ADE=0.765m | Val_ADE=0.954m FDE=1.610m (best=0.954) | S5=0.664m S10=0.833m S15=1.248m S20=1.610m | L_cls=0.278 L_reg=0.0013 | Acc=89.36%/61.82%
[wo_uncertainty_u] Ep   3/100 [309s] Loss=0.2644/1.2956 | Train_ADE=0.715m | Val_ADE=0.904m FDE=1.484m (best=0.904) | S5=0.663m S10=0.804m S15=1.166m S20=1.484m | L_cls=0.252 L_reg=0.0012 | Acc=89.67%/64.01%
[wo_uncertainty_u] Ep   4/100 [305s] Loss=0.2540/1.2630 | Train_ADE=0.690m | Val_ADE=0.905m FDE=1.507m (best=0.904) | S5=0.643m S10=0.791m S15=1.177m S20=1.507m | L_cls=0.242 L_reg=0.0012 | Acc=89.85%/63.79%
[wo_uncertainty_u] Ep   5/100 [306s] Loss=0.2486/1.2043 | Train_ADE=0.681m | Val_ADE=0.904m FDE=1.514m (best=0.904) | S5=0.649m S10=0.783m S15=1.171m S20=1.514m | L_cls=0.236 L_reg=0.0012 | Acc=89.96%/65.02%
[wo_uncertainty_u] Ep   6/100 [307s] Loss=0.2440/1.2029 | Train_ADE=0.668m | Val_ADE=0.892m FDE=1.490m (best=0.892) | S5=0.649m S10=0.785m S15=1.142m S20=1.490m | L_cls=0.232 L_reg=0.0012 | Acc=90.05%/64.94%
[wo_uncertainty_u] Ep   7/100 [308s] Loss=0.2408/1.2537 | Train_ADE=0.660m | Val_ADE=0.881m FDE=1.418m (best=0.881) | S5=0.657m S10=0.788m S15=1.126m S20=1.418m | L_cls=0.229 L_reg=0.0012 | Acc=90.13%/64.69%
[wo_uncertainty_u] Ep   8/100 [308s] Loss=0.2380/1.2023 | Train_ADE=0.654m | Val_ADE=0.868m FDE=1.395m (best=0.868) | S5=0.653m S10=0.774m S15=1.113m S20=1.395m | L_cls=0.226 L_reg=0.0012 | Acc=90.20%/65.05%
[wo_uncertainty_u] Ep   9/100 [303s] Loss=0.2368/1.2503 | Train_ADE=0.650m | Val_ADE=0.876m FDE=1.389m (best=0.868) | S5=0.658m S10=0.790m S15=1.112m S20=1.389m | L_cls=0.225 L_reg=0.0012 | Acc=90.23%/64.76%
[wo_uncertainty_u] Ep  10/100 [307s] Loss=0.2350/1.1815 | Train_ADE=0.646m | Val_ADE=0.847m FDE=1.341m (best=0.847) | S5=0.639m S10=0.756m S15=1.073m S20=1.341m | L_cls=0.223 L_reg=0.0012 | Acc=90.25%/66.06%
[wo_uncertainty_u] Ep  11/100 [303s] Loss=0.2337/1.3009 | Train_ADE=0.640m | Val_ADE=0.869m FDE=1.385m (best=0.847) | S5=0.652m S10=0.782m S15=1.105m S20=1.385m | L_cls=0.222 L_reg=0.0012 | Acc=90.29%/61.99%
[wo_uncertainty_u] Ep  12/100 [303s] Loss=0.2322/1.2469 | Train_ADE=0.637m | Val_ADE=0.848m FDE=1.354m (best=0.847) | S5=0.641m S10=0.755m S15=1.074m S20=1.354m | L_cls=0.221 L_reg=0.0011 | Acc=90.33%/64.08%
[wo_uncertainty_u] Ep  13/100 [303s] Loss=0.2320/1.2098 | Train_ADE=0.633m | Val_ADE=0.912m FDE=1.415m (best=0.847) | S5=0.688m S10=0.848m S15=1.156m S20=1.415m | L_cls=0.221 L_reg=0.0011 | Acc=90.33%/65.35%
[wo_uncertainty_u] Ep  14/100 [304s] Loss=0.2305/1.3547 | Train_ADE=0.630m | Val_ADE=0.853m FDE=1.338m (best=0.847) | S5=0.654m S10=0.778m S15=1.063m S20=1.338m | L_cls=0.219 L_reg=0.0011 | Acc=90.36%/62.25%
[wo_uncertainty_u] Ep  15/100 [307s] Loss=0.2296/1.2874 | Train_ADE=0.625m | Val_ADE=0.837m FDE=1.301m (best=0.837) | S5=0.644m S10=0.769m S15=1.048m S20=1.301m | L_cls=0.218 L_reg=0.0011 | Acc=90.40%/62.98%
[wo_uncertainty_u] Ep  16/100 [307s] Loss=0.2286/1.2360 | Train_ADE=0.621m | Val_ADE=0.827m FDE=1.317m (best=0.827) | S5=0.624m S10=0.742m S15=1.050m S20=1.317m | L_cls=0.218 L_reg=0.0011 | Acc=90.40%/65.72%
