====================================================================================================
GPT-2 Ablation Study | snr=20dB | grid=121 | smooth=3 | posterior=0.06 | ablations=['wo_global_refiner']
[Cache] loaded localized trajectories from ./logs/localized_cache_dataset_lankershim_v3_localize_snr20_g121_s3_t0p06_e1_sl72_pl20.npz
[Cache] ./logs/localized_cache_dataset_lankershim_v3_localize_snr20_g121_s3_t0p06_e1_sl72_pl20.npz
[SoftToken] Global calibration: low=0.6424, high=0.7810

----------------------------------------------------------------------------------------------------
[wo_global_refiner] w/o Global Refiner
[wo_global_refiner] Params=84,758,985 | Trainable=2,846,409
[wo_global_refiner] Ep   1/100 [301s] Loss=0.6291/1.4658 | Train_ADE=1.258m | Val_ADE=1.000m FDE=1.745m (best=1.000) | S5=0.673m S10=0.883m S15=1.306m S20=1.745m | L_cls=0.606 L_reg=0.0023 | Acc=80.91%/58.06%
[wo_global_refiner] Ep   2/100 [303s] Loss=0.2926/1.3630 | Train_ADE=0.775m | Val_ADE=0.988m FDE=1.769m (best=0.988) | S5=0.650m S10=0.843m S15=1.318m S20=1.769m | L_cls=0.279 L_reg=0.0013 | Acc=89.35%/61.76%
[wo_global_refiner] Ep   3/100 [304s] Loss=0.2649/1.2556 | Train_ADE=0.723m | Val_ADE=0.901m FDE=1.506m (best=0.901) | S5=0.638m S10=0.802m S15=1.168m S20=1.506m | L_cls=0.252 L_reg=0.0013 | Acc=89.68%/64.10%
[wo_global_refiner] Ep   4/100 [300s] Loss=0.2547/1.2080 | Train_ADE=0.704m | Val_ADE=0.929m FDE=1.572m (best=0.901) | S5=0.648m S10=0.810m S15=1.216m S20=1.572m | L_cls=0.242 L_reg=0.0012 | Acc=89.85%/64.62%
[wo_global_refiner] Ep   5/100 [304s] Loss=0.2482/1.2611 | Train_ADE=0.685m | Val_ADE=0.890m FDE=1.489m (best=0.890) | S5=0.638m S10=0.778m S15=1.161m S20=1.489m | L_cls=0.236 L_reg=0.0012 | Acc=89.97%/62.05%
[wo_global_refiner] Ep   6/100 [304s] Loss=0.2437/1.1812 | Train_ADE=0.674m | Val_ADE=0.867m FDE=1.419m (best=0.867) | S5=0.631m S10=0.766m S15=1.125m S20=1.419m | L_cls=0.232 L_reg=0.0012 | Acc=90.07%/64.32%
[wo_global_refiner] Ep   7/100 [303s] Loss=0.2404/1.2473 | Train_ADE=0.671m | Val_ADE=0.860m FDE=1.401m (best=0.860) | S5=0.629m S10=0.770m S15=1.108m S20=1.401m | L_cls=0.228 L_reg=0.0012 | Acc=90.13%/64.06%
[wo_global_refiner] Ep   8/100 [299s] Loss=0.2383/1.2588 | Train_ADE=0.664m | Val_ADE=0.863m FDE=1.407m (best=0.860) | S5=0.625m S10=0.768m S15=1.120m S20=1.407m | L_cls=0.226 L_reg=0.0012 | Acc=90.18%/64.34%
[wo_global_refiner] Ep   9/100 [299s] Loss=0.2362/1.3048 | Train_ADE=0.659m | Val_ADE=0.883m FDE=1.477m (best=0.860) | S5=0.630m S10=0.781m S15=1.146m S20=1.477m | L_cls=0.225 L_reg=0.0012 | Acc=90.24%/61.91%
[wo_global_refiner] Ep  10/100 [304s] Loss=0.2349/1.1711 | Train_ADE=0.658m | Val_ADE=0.858m FDE=1.416m (best=0.858) | S5=0.622m S10=0.755m S15=1.114m S20=1.416m | L_cls=0.223 L_reg=0.0012 | Acc=90.27%/65.79%
[wo_global_refiner] Ep  11/100 [300s] Loss=0.2333/1.2947 | Train_ADE=0.650m | Val_ADE=0.866m FDE=1.429m (best=0.858) | S5=0.628m S10=0.772m S15=1.117m S20=1.429m | L_cls=0.222 L_reg=0.0011 | Acc=90.32%/62.11%
[wo_global_refiner] Ep  12/100 [304s] Loss=0.2323/1.2041 | Train_ADE=0.648m | Val_ADE=0.850m FDE=1.387m (best=0.850) | S5=0.623m S10=0.756m S15=1.098m S20=1.387m | L_cls=0.221 L_reg=0.0012 | Acc=90.35%/65.80%
[wo_global_refiner] Ep  13/100 [300s] Loss=0.2311/1.1904 | Train_ADE=0.642m | Val_ADE=0.880m FDE=1.456m (best=0.850) | S5=0.621m S10=0.778m S15=1.151m S20=1.456m | L_cls=0.220 L_reg=0.0011 | Acc=90.37%/65.38%
[wo_global_refiner] Ep  14/100 [306s] Loss=0.2305/1.2393 | Train_ADE=0.639m | Val_ADE=0.850m FDE=1.375m (best=0.850) | S5=0.623m S10=0.756m S15=1.100m S20=1.375m | L_cls=0.219 L_reg=0.0011 | Acc=90.36%/65.05%
[wo_global_refiner] Ep  15/100 [306s] Loss=0.2296/1.1957 | Train_ADE=0.638m | Val_ADE=0.850m FDE=1.376m (best=0.850) | S5=0.623m S10=0.759m S15=1.097m S20=1.376m | L_cls=0.218 L_reg=0.0011 | Acc=90.40%/65.95%
[wo_global_refiner] Ep  16/100 [299s] Loss=0.2286/1.2442 | Train_ADE=0.639m | Val_ADE=0.851m FDE=1.386m (best=0.850) | S5=0.619m S10=0.763m S15=1.100m S20=1.386m | L_cls=0.217 L_reg=0.0011 | Acc=90.41%/65.00%
