switch_id,episode,episode_id,density,snr,slot,window_offset,origin_ms,state_x,state_y,assigned_gt,nearest_gt,second_nearest_gt,nearest_margin_m,d_state_A,d_state_B,gt_AB_distance,detected,coast,gt_before,gt_after,detected_before,detected_after,detection_transition,assigned_cost_m,row_best_gt,row_best_cost_m,row_second_best_cost_m,row_cost_margin_m,assigned_is_row_best,row_best_taken_by_other_slot,crowded_criterion,competition_criterion,jitter_criterion,handoff_criterion,cause,persistence_b_origins,persistent_ge_3,persistent_to_segment_end,bounce_within_1,bounce_within_2,bounce_within_3,nearest_p,nearest_c,nearest_r,jitter_bounce_strict
0,2,s0_t1118935700200_a2,mid,-5.0,2,-3,1118935708600,12.639395713806152,35.4751091003418,,8,2,0.07255447276955018,1.7767767066570015,1.7042222338874513,3.4785938404919436,False,True,2,8,True,True,detected_to_detected,,,,,,,,False,False,False,False,unresolved,1,False,False,False,False,False,8,2,,False
0,2,s0_t1118935700200_a2,mid,-5.0,2,-2,1118935709100,12.859192848205566,39.017967224121094,2,2,8,0.2043355098072419,1.6807845404695525,1.8851200502767944,3.4357565573580833,False,True,2,8,True,True,detected_to_detected,,,,,,,,False,False,False,False,unresolved,1,False,False,False,False,False,8,2,,False
0,2,s0_t1118935700200_a2,mid,-5.0,2,-1,1118935709600,12.689298629760742,40.81172180175781,2,8,2,0.026116237766976136,2.0150793393101267,1.9889631015431506,4.003983491076546,True,False,2,8,True,True,detected_to_detected,,,,,,,,False,False,False,False,unresolved,1,False,False,False,False,False,8,2,,False
0,2,s0_t1118935700200_a2,mid,-5.0,2,0,1118935710100,13.837212562561035,42.41064453125,8,2,8,2.386646479412698,1.4523924838907545,3.8390389633034525,5.200194693722159,True,False,2,8,True,True,detected_to_detected,2.0579033220798935,2,1.8221569147167298,2.0579033220798935,0.23574640736316366,False,True,False,False,False,False,unresolved,1,False,False,False,False,False,8,2,,False
0,2,s0_t1118935700200_a2,mid,-5.0,2,1,1118935710600,14.953186988830566,43.910396575927734,,2,0,1.0230334805533805,2.5771878539561985,5.339157359771703,7.041244233176306,False,True,2,8,True,True,detected_to_detected,,,,,,,,False,False,False,False,unresolved,1,False,False,False,False,False,8,2,,False
0,2,s0_t1118935700200_a2,mid,-5.0,2,2,1118935711100,,,,,,,,,9.027275637440564,False,True,2,8,True,True,detected_to_detected,,,,,,,,False,False,False,False,unresolved,1,False,False,False,False,False,8,2,,False
0,2,s0_t1118935700200_a2,mid,-5.0,2,3,1118935711600,,,,,,,,,11.011818728010645,False,True,2,8,True,True,detected_to_detected,,,,,,,,False,False,False,False,unresolved,1,False,False,False,False,False,8,2,,False
1,4,s0_t1118935700200_a15,mid,-5.0,5,-3,1118935708600,,,,,,,,,5.370201482537433,True,False,11,15,True,False,detected_to_coast,,,,,,,,False,False,False,False,unresolved,1,False,False,True,True,True,15,12,12,False
1,4,s0_t1118935700200_a15,mid,-5.0,5,-2,1118935709100,-12.885115623474121,-67.91456604003906,11,11,15,0.10639582811919568,1.3769154601846172,1.4833112883038129,2.8446026932148287,True,False,11,15,True,False,detected_to_coast,,,,,,,,False,False,False,False,unresolved,1,False,False,True,True,True,15,12,12,False
1,4,s0_t1118935700200_a15,mid,-5.0,5,-1,1118935709600,-12.391318321228027,-72.85717010498047,11,15,11,0.26956852072773474,3.029493362451673,2.7599248417239384,3.0492772253975176,True,False,11,15,True,False,detected_to_coast,,,,,,,,False,False,False,False,unresolved,1,False,False,True,True,True,15,12,12,False
